Time,SrcIP ,DstIP ,SrcPort ,DstPort ,Protocol ,Data 
2023-10-10 15:38:31,10.241.8.195,157.240.218.17,54170,443,TCP,Raw
2023-10-10 15:38:31,10.241.8.195,20.189.173.14,54214,443,TCP,
2023-10-10 15:38:31,157.240.218.1,10.241.8.195,443,54169,TCP,Raw
2023-10-10 15:38:31,142.250.199.74,10.241.8.195,443,54183,TCP,Raw
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,Raw
2023-10-10 15:38:31,157.240.218.1,10.241.8.195,443,54169,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54158,TCP,Raw
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,Raw
2023-10-10 15:38:31,142.250.66.110,10.241.8.195,443,54140,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54157,TCP,Raw
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,Raw
2023-10-10 15:38:31,157.240.218.1,10.241.8.195,443,54169,TCP,Raw
2023-10-10 15:38:31,142.250.66.110,10.241.8.195,443,54140,TCP,Raw
2023-10-10 15:38:31,157.240.218.1,10.241.8.195,443,54169,TCP,
2023-10-10 15:38:31,142.250.199.74,10.241.8.195,443,54183,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54159,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54157,TCP,Raw
2023-10-10 15:38:31,20.189.173.14,10.241.8.195,443,54213,TCP,
2023-10-10 15:38:31,142.250.66.110,10.241.8.195,443,54140,TCP,Raw
2023-10-10 15:38:31,142.250.199.74,10.241.8.195,443,54183,TCP,Raw
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54158,TCP,Raw
2023-10-10 15:38:31,8.8.4.4,10.241.8.195,443,54157,TCP,Raw
2023-10-10 15:38:31,20.189.173.14,10.241.8.195,443,54214,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.199.74,54183,443,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.199.74,54183,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.1,54169,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.1,54169,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.1,54169,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.17,54170,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.17,54170,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.17,54170,443,TCP,
2023-10-10 15:38:31,10.241.8.195,157.240.218.17,54170,443,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.66.110,54140,443,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.66.110,54140,443,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.66.110,54140,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54158,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54158,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54157,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54157,443,TCP,
2023-10-10 15:38:31,10.241.8.195,20.189.173.14,54213,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54157,443,TCP,
2023-10-10 15:38:31,10.241.8.195,8.8.4.4,54159,443,TCP,
2023-10-10 15:38:31,10.241.8.195,142.250.66.110,54140,443,TCP,
2023-10-10 15:38:31,10.241.8.195,20.189.173.14,54214,443,TCP,
2023-10-10 15:38:31,10.241.8.195,20.189.173.14,54213,443,TCP,Raw
2023-10-10 15:38:31,10.241.8.195,20.189.173.14,54214,443,TCP,Raw
2023-10-10 15:38:31,20.189.173.14,10.241.8.195,443,54215,TCP,
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,Raw
2023-10-10 15:38:31,157.240.218.17,10.241.8.195,443,54170,TCP,
